Well,Cq,Strain,Gene,Sample
A1,19.58,Kisumu,S7,Kisumu_1
A2,19.53,Kisumu,S7,Kisumu_1
A3,19.48,Kisumu,S7,Kisumu_1
A4,19.88,Bakaridjan,S7,Bakaridjan_1
A5,19.82,Bakaridjan,S7,Bakaridjan_1
A6,20.09,Bakaridjan,S7,Bakaridjan_1
A7,25.61,Kisumu,COEAE1F,Kisumu_1
A8,25.65,Kisumu,COEAE1F,Kisumu_1
A9,25.78,Kisumu,COEAE1F,Kisumu_1
A10,26.19,Bakaridjan,COEAE1F,Bakaridjan_1
A11,26.84,Bakaridjan,COEAE1F,Bakaridjan_1
A12,26.97,Bakaridjan,COEAE1F,Bakaridjan_1
B1,19.92,Kisumu,S7,Kisumu_2
B2,19.63,Kisumu,S7,Kisumu_2
B3,19.65,Kisumu,S7,Kisumu_2
B4,19.93,Bakaridjan,S7,Bakaridjan_2
B5,20.25,Bakaridjan,S7,Bakaridjan_2
B6,20.3,Bakaridjan,S7,Bakaridjan_2
B7,26.6,Kisumu,COEAE1F,Kisumu_2
B8,26.71,Kisumu,COEAE1F,Kisumu_2
B9,26.71,Kisumu,COEAE1F,Kisumu_2
B10,26.72,Bakaridjan,COEAE1F,Bakaridjan_2
B11,28.97,Bakaridjan,COEAE1F,Bakaridjan_2
B12,27.8,Bakaridjan,COEAE1F,Bakaridjan_2
C1,19.02,Kisumu,S7,Kisumu_3
C2,18.85,Kisumu,S7,Kisumu_3
C3,18.7,Kisumu,S7,Kisumu_3
C4,20.67,Bakaridjan,S7,Bakaridjan_3
C5,20.83,Bakaridjan,S7,Bakaridjan_3
C6,20.9,Bakaridjan,S7,Bakaridjan_3
C7,25.78,Kisumu,COEAE1F,Kisumu_3
C8,25.65,Kisumu,COEAE1F,Kisumu_3
C9,25.82,Kisumu,COEAE1F,Kisumu_3
C10,26.08,Bakaridjan,COEAE1F,Bakaridjan_3
C11,26.3,Bakaridjan,COEAE1F,Bakaridjan_3
C12,26.96,Bakaridjan,COEAE1F,Bakaridjan_3
D1,26.89,Kisumu,EF,Kisumu_1
D2,27.12,Kisumu,EF,Kisumu_1
D3,26.87,Kisumu,EF,Kisumu_1
D4,36.48,Bakaridjan,EF,Bakaridjan_1
D5,30.72,Bakaridjan,EF,Bakaridjan_1
D6,27.64,Bakaridjan,EF,Bakaridjan_1
E1,27.56,Kisumu,EF,Kisumu_2
E2,27.24,Kisumu,EF,Kisumu_2
E3,27.15,Kisumu,EF,Kisumu_2
E4,27.45,Bakaridjan,EF,Bakaridjan_2
E5,27.94,Bakaridjan,EF,Bakaridjan_2
E6,27.37,Bakaridjan,EF,Bakaridjan_2
F1,26.81,Kisumu,EF,Kisumu_3
F2,27.05,Kisumu,EF,Kisumu_3
F3,26.37,Kisumu,EF,Kisumu_3
F4,35.96,Bakaridjan,EF,Bakaridjan_3
F5,35.76,Bakaridjan,EF,Bakaridjan_3
F6,35.96,Bakaridjan,EF,Bakaridjan_3
